objid,specObjID,distance_arcmin,IAUName,dec,fuv_mag,nuv_mag,fuv_flux,nuv_flux,e_bv,isThereSpectrum,fuv_fwhm_world,nuv_fwhm_world,ra,dec1,objid1,band,id,img,nuv_flux1,nuv_fluxerr,nuv_mag1,nuv_magerr,fuv_flux1,fuv_fluxerr,fuv_mag1,fuv_magerr,nuv_skybg,fuv_skybg
6380802579079627442,0,4.68432293988043,GALEX J005417.0-282726,-28.4573904192367,19.28162,19.44636,70.36466,60.45802,0.01694987,False,0.006722727,0.006010301,13.5711600406538,-28.4573904192367,6380802579079627442,3,690,449,60.45802,6.426176,19.44636,0.1154326,70.36466,9.670242,19.28162,0.1492494,0.001053704,0.0001172754
6380802579078582650,0,4.7179698368549,GALEX J005352.5-281949,-28.3304141841688,21.68778,-999,7.671696,-999,0.01981502,False,0.002156236,-99,13.4688673279425,-28.3304141841688,6380802579078582650,2,4474,449,-999,-999,-999,-999,7.671696,2.943059,21.68778,0.4166174,0.001097997,0.0001215935
6380802579077530589,0,4.75864195019696,GALEX J005341.2-282328,-28.3911715375681,-999,22.28428,-999,4.428813,0.01790327,False,-99,0.002715989,13.4220034879886,-28.3911715375681,6380802579077530589,1,989,449,4.428813,1.897019,22.28428,0.4651725,-999,-999,-999,-999,0.001074473,0.0001179642
6380802579078582655,0,4.81940347077363,GALEX J005358.5-281914,-28.3206258709276,21.74283,-999,7.292391,-999,0.01932462,False,0.001133441,-99,13.4940585212028,-28.3206258709276,6380802579078582655,2,4479,449,-999,-999,-999,-999,7.292391,3.333696,21.74283,0.4964619,0.001097361,0.0001214875
6380802579077530472,0,4.86120934330386,GALEX J005341.5-282517,-28.4214647994999,-999,22.71082,-999,2.989989,0.01651076,False,-99,0.001612431,13.4230246536147,-28.4214647994999,6380802579077530472,1,872,449,2.989989,1.432317,22.71082,0.5202349,-999,-999,-999,-999,0.001050313,0.0001146793
6380802579077530645,0,4.86464813350447,GALEX J005423.8-282226,-28.3740159023017,-999,22.39104,-999,4.014068,0.01883356,False,-99,0.001963129,13.5991805011336,-28.3740159023017,6380802579077530645,1,1045,449,4.014068,2.038247,22.39104,0.5514446,-999,-999,-999,-999,0.001065996,0.0001220438
6380802579077530330,0,4.91662997500476,GALEX J005348.8-282748,-28.4634110478184,-999,22.28573,-999,4.422909,0.0157859,False,-99,0.002893809,13.4534359216285,-28.4634110478184,6380802579077530330,1,730,449,4.422909,1.933346,22.28573,0.4747132,-999,-999,-999,-999,0.001048194,0.0001125336
6380802579077530803,0,4.93614437375989,GALEX J005417.5-282014,-28.337387616993,-999,22.66363,-999,3.122833,0.01937701,False,-99,0.002130944,13.5730577829906,-28.337387616993,6380802579077530803,1,1203,449,3.122833,1.533004,22.66363,0.5331192,-999,-999,-999,-999,0.001082102,0.0001209047
6380802579078582651,0,4.96798762414599,GALEX J005414.9-281946,-28.3296183811191,21.9345,-999,6.112268,-999,0.01937701,False,0.001421859,-99,13.5622478226682,-28.3296183811191,6380802579078582651,2,4475,449,-999,-999,-999,-999,6.112268,2.735699,21.9345,0.4860666,0.001086765,0.0001205073
6380802579078582579,0,4.973316058124,GALEX J005342.4-282609,-28.4358945485579,21.95137,-999,6.018015,-999,0.01651076,False,0.002622491,-99,13.4270290954599,-28.4358945485579,6380802579078582579,2,4403,449,-999,-999,-999,-999,6.018015,2.702839,21.95137,0.4877493,0.00104883,0.0001137521
6380802579077530249,0,5.00673131938529,GALEX J005406.9-282853,-28.4815045368373,-999,22.06759,-999,5.407095,0.01671798,False,-99,0.002642329,13.5288634718256,-28.4815045368373,6380802579077530249,1,649,449,5.407095,2.138733,22.06759,0.4295586,-999,-999,-999,-999,0.001050737,0.0001151032
6380802579077530336,0,5.03451467454122,GALEX J005347.3-282740,-28.4613413278997,-999,22.64549,-999,3.175424,0.0157859,False,-99,0.001831388,13.4472542780753,-28.4613413278997,6380802579077530336,1,736,449,3.175424,1.728567,22.64549,0.5911726,-999,-999,-999,-999,0.00104777,0.0001125336
6380802579077530657,0,5.0529633131688,GALEX J005341.1-282218,-28.3717183175473,-999,22.49952,-999,3.632391,0.01790327,False,-99,0.002256688,13.4212795415543,-28.3717183175473,6380802579077530657,1,1057,449,3.632391,1.656431,22.49952,0.4952342,-999,-999,-999,-999,0.001091851,0.00012011
6380802579078582587,0,5.07111749460469,GALEX J005340.5-282519,-28.4219634484183,21.80233,-999,6.903504,-999,0.01651076,False,0.002657151,-99,13.4190529614832,-28.4219634484183,6380802579078582587,2,4411,449,-999,-999,-999,-999,6.903504,2.806041,21.80233,0.4414223,0.001050737,0.0001144409
6380802579077530242,0,5.07816257906458,GALEX J005403.6-282902,-28.4840160989888,-999,22.14378,-999,5.040666,0.01671798,False,-99,0.003193,13.5152920183416,-28.4840160989888,6380802579077530242,1,642,449,5.040666,2.051064,22.14378,0.441897,-999,-999,-999,-999,0.001050525,0.0001143085
6380802579077530533,0,5.08723974142424,GALEX J005339.7-282418,-28.4051039568498,-999,22.29133,-999,4.400165,0.01763885,False,-99,0.003115936,13.4154955108479,-28.4051039568498,6380802579077530533,1,933,449,4.400165,2.07222,22.29133,0.5114423,-999,-999,-999,-999,0.001063241,0.0001159774
6380802579077530882,0,5.10523303981379,GALEX J005409.9-281906,-28.3185075828503,-999,21.94397,-999,6.059161,0.01937016,False,-99,0.001871634,13.5415154179566,-28.3185075828503,6380802579077530882,1,1282,449,6.059161,2.293912,21.94397,0.4111441,-999,-999,-999,-999,0.001094182,0.000120163
6380802579077530806,0,5.13673783908532,GALEX J005347.5-282004,-28.3345546068589,-999,21.97054,-999,5.912639,0.01981502,False,-99,0.00118718,13.4481971765011,-28.3345546068589,6380802579077530806,1,1206,449,5.912639,2.831882,21.97054,0.520144,-999,-999,-999,-999,0.001102871,0.0001213286
6380802579077530581,0,5.16377880723858,GALEX J005339.3-282336,-28.3934389809395,-999,22.80987,-999,2.729309,0.01763885,False,-99,0.001527381,13.4140734988498,-28.3934389809395,6380802579077530581,1,981,449,2.729309,1.579097,22.80987,0.6283273,-999,-999,-999,-999,0.001073837,0.000117196
6380802579077530871,0,5.17591660533973,GALEX J005412.9-281917,-28.3215357007568,-999,22.18194,-999,4.866578,0.01937016,False,-99,0.002090628,13.5537721160957,-28.3215357007568,6380802579077530871,1,1271,449,4.866578,1.908415,22.18194,0.4258718,-999,-999,-999,-999,0.001091639,0.0001202424
6380802579077530840,0,5.1875625236393,GALEX J005350.6-281931,-28.3254577559632,-999,22.23548,-999,4.632419,0.01981502,False,-99,0.003342042,13.4608244476354,-28.3254577559632,6380802579077530840,1,1240,449,4.632419,2.431588,22.23548,0.5700487,-999,-999,-999,-999,0.001103083,0.0001214875
6380802579077530810,0,5.1942166210791,GALEX J005349.5-281940,-28.327912764314,-999,21.87966,-999,6.428874,0.01981502,False,-99,0.002255609,13.4562492446497,-28.327912764314,6380802579077530810,1,1210,449,6.428874,2.999922,21.87966,0.506763,-999,-999,-999,-999,0.001103507,0.0001214345
