,num,ra,dec,Rmag,redshift,ra_galex,dec_galex,fuv_mag,nuv_mag,fuv_magerr,nuv_magerr,fuv_flux,nuv_flux,fuv_fluxerr,nuv_fluxerr,angularsep
109,236,13.56045,-28.42594,21.68,0.32076,13.56024914230869,-28.42775859210389,,22.1825447,,0.444843918,,4.86386633,,1.99232161,6.577741569866827
110,237,13.56496,-28.42859,21.54,0.4364,13.56024914230869,-28.42775859210389,,22.1825447,,0.444843918,,4.86386633,,1.99232161,15.211440265824864
111,238,13.50912,-28.44559,21.65,0.29179,13.4930474484958,-28.44867373396324,,22.493885,,0.438474119,,3.65128541,,1.47421193,52.0719958590492
112,240,13.55788,-28.44131,21.96,0.39638,13.55015965250582,-28.45002015799509,21.8813114,,0.5069563,,6.41915369,,2.99652863,,39.754723384575534
113,242,13.53138,-28.45612,18.83,0.07474,13.5314230771042,-28.45601178312225,20.4228649,21.14517,0.252426177,0.2552243,24.59552,12.6453676,5.7169,2.97182775,0.4127495372016618
114,243,13.5569,-28.4516,21.71,0.60239,13.55015965250582,-28.45002015799509,21.8813114,,0.5069563,,6.41915369,,2.99652863,,22.079723194332434
115,244,13.4975,-28.36183,23.07,0.44853,13.50412824324282,-28.35565546550548,,22.313427,,0.5875947,,4.311502,,2.33279514,30.57804345479556
116,245,13.46711,-28.37125,23.37,0.58548,13.46227575829664,-28.3671972285535,,22.7547226,,0.705619633,,2.87151337,,1.86574244,21.150926801481283
117,246,13.50533,-28.36714,21.94,0.68943,13.50412824324282,-28.35565546550548,,22.313427,,0.5875947,,4.311502,,2.33279514,41.519231966721776
118,248,13.51192,-28.3685,22.15,0.95751,13.50412824324282,-28.35565546550548,,22.313427,,0.5875947,,4.311502,,2.33279514,52.41593779605648
119,249,13.50411,-28.37266,23.22,0.07588,13.48829219623025,-28.37403328231525,,22.6296921,,0.543497264,,3.22197723,,1.61246407,50.34670241209871
120,250,13.51829,-28.3818,22.77,0.63175,13.53805431735773,-28.3834546228873,21.6375866,,0.460561663,,8.034657,,3.407417,,62.881377835161274
121,252,13.50599,-28.39657,21.81,0.29656,13.49358223794343,-28.40468652758306,,21.5107937,,0.3604291,,9.029878,,2.9968977,48.96559376011779
122,253,13.51902,-28.41399,23.29,0.7209,13.52442935213248,-28.41510001695875,,22.173336,,0.472773343,,4.905293,,2.13544345,17.587617437198585
123,258,13.51469,-28.43876,22.68,0.62766,13.51667761958675,-28.42778377828719,,22.1070976,,0.438837051,,5.21387529,,2.10685229,40.01225482586982
124,259,13.51884,-28.43975,22.15,0.46659,13.51667761958675,-28.42778377828719,,22.1070976,,0.438837051,,5.21387529,,2.10685229,43.6189097578759
125,260,13.51171,-28.44719,22.9,0.83528,13.4930474484958,-28.44867373396324,,22.493885,,0.438474119,,3.65128541,,1.47421193,59.31359867662311
126,261,13.51555,-28.44869,22.81,0.62748,13.5314230771042,-28.45601178312225,20.4228649,21.14517,0.252426177,0.2552243,24.59552,12.6453676,5.7169,2.97182775,56.73554079607205
127,262,13.48586,-28.46612,22.87,0.50304,13.47811867641354,-28.46966853922071,,21.8972187,,0.386736,,6.32574844,,2.25266528,27.62959959119337
128,264,13.53387,-28.45892,22.88,0.43551,13.5314230771042,-28.45601178312225,20.4228649,21.14517,0.252426177,0.2552243,24.59552,12.6453676,5.7169,2.97182775,13.022679273014704
129,265,13.51118,-28.46608,22.82,1.30353,13.49390625475212,-28.47286700836851,,22.47713,,0.5523269,,3.708066,,1.88587916,59.87734209418246
130,266,13.55328,-28.45736,22.94,0.68301,13.55015965250582,-28.45002015799509,21.8813114,,0.5069563,,6.41915369,,2.99652863,,28.20884726033612
131,267,13.53093,-28.46591,22.67,0.96102,13.53139618393669,-28.4685462592281,,22.8683071,,0.6207797,,2.58628535,,1.47837329,9.60452282583448
132,268,13.52309,-28.46982,22.43,1.02295,13.53139618393669,-28.4685462592281,,22.8683071,,0.6207797,,2.58628535,,1.47837329,26.683244787069082
133,271,13.56425,-28.46469,22.36,0.8201,13.57116004065381,-28.45739041923673,19.2816181,19.4463634,0.1492494,0.115432613,70.36466,60.45802,9.670242,6.42617559,34.18831137723212
134,274,13.54779,-28.37007,0.0,0.18345,13.54491516847918,-28.3782743142547,19.75352,19.202776,0.174327046,0.09215275,45.5611038,75.6640244,7.31356573,6.42048645,30.907405353390637
135,275,13.55553,-28.3848,22.62,0.98627,13.55266495416324,-28.37794035924484,,21.6109333,,0.327250451,,8.234288,,2.48128414,26.309198255191625
136,276,13.55045,-28.3833,23.25,0.8284,13.55266495416324,-28.37794035924484,,21.6109333,,0.327250451,,8.234288,,2.48128414,20.530521562755624
137,277,13.56435,-28.40551,0.0,0.82612,13.56971821002814,-28.40209234764428,,22.3652515,,0.5144485,,4.11053753,,1.94720066,20.984429892193585
