,num,ra,dec,Rmag,redshift,ra_galex,dec_galex,fuv_mag,nuv_mag,fuv_magerr,nuv_magerr,fuv_flux,nuv_flux,fuv_fluxerr,nuv_fluxerr,angularsep
111,238,13.50912,-28.44559,21.65,0.29179,13.4930474484958,-28.4486737339632,-999.0,22.49389,-999.0,0.4384741,-999.0,3.651285,-999.0,1.474212,52.07199585901993
112,240,13.55788,-28.44131,21.96,0.39638,13.5501596525058,-28.4500201579951,21.88131,-999.0,0.5069563,-999.0,6.419154,-999.0,2.996529,-999.0,39.75472338465313
113,242,13.53138,-28.45612,18.83,0.07474,13.5314230771042,-28.4560117831223,20.42286,21.14517,0.2524262,0.2552243,24.59552,12.64537,5.7169,2.971828,0.41274953702874534
114,243,13.5569,-28.4516,21.71,0.60239,13.5501596525058,-28.4500201579951,21.88131,-999.0,0.5069563,-999.0,6.419154,-999.0,2.996529,-999.0,22.079723194388777
115,244,13.4975,-28.36183,23.07,0.44853,13.5041282432428,-28.3556554655055,-999.0,22.31343,-999.0,0.5875947,-999.0,4.311502,-999.0,2.332795,30.57804345471143
116,245,13.46711,-28.37125,23.37,0.58548,13.4622757582966,-28.3671972285535,-999.0,22.75472,-999.0,0.7056196,-999.0,2.871513,-999.0,1.865742,21.150926801570908
117,246,13.50533,-28.36714,21.94,0.68943,13.5041282432428,-28.3556554655055,-999.0,22.31343,-999.0,0.5875947,-999.0,4.311502,-999.0,2.332795,41.51923196667045
118,248,13.51192,-28.3685,22.15,0.95751,13.5041282432428,-28.3556554655055,-999.0,22.31343,-999.0,0.5875947,-999.0,4.311502,-999.0,2.332795,52.41593779603513
119,249,13.50411,-28.37266,23.22,0.07588,13.4882921962302,-28.3740332823152,-999.0,22.62969,-999.0,0.5434973,-999.0,3.221977,-999.0,1.612464,50.34670241223864
120,250,13.51829,-28.3818,22.77,0.63175,13.5380543173577,-28.3834546228873,21.63759,-999.0,0.4605617,-999.0,8.034657,-999.0,3.407417,-999.0,62.88137783506606
121,252,13.50599,-28.39657,21.81,0.29656,13.4935822379434,-28.4046865275831,-999.0,21.51079,-999.0,0.3604291,-999.0,9.029878,-999.0,2.996898,48.965593760283355
122,253,13.51902,-28.41399,23.29,0.7209,13.5244293521325,-28.4151000169588,-999.0,22.17334,-999.0,0.4727733,-999.0,4.905293,-999.0,2.135443,17.587617437305934
123,258,13.51469,-28.43876,22.68,0.62766,13.5166776195867,-28.4277837782872,-999.0,22.1071,-999.0,0.4388371,-999.0,5.213875,-999.0,2.106852,40.01225482578852
124,259,13.51884,-28.43975,22.15,0.46659,13.5166776195867,-28.4277837782872,-999.0,22.1071,-999.0,0.4388371,-999.0,5.213875,-999.0,2.106852,43.618909757866675
125,260,13.51171,-28.44719,22.9,0.83528,13.4930474484958,-28.4486737339632,-999.0,22.49389,-999.0,0.4384741,-999.0,3.651285,-999.0,1.474212,59.31359867661075
126,261,13.51555,-28.44869,22.81,0.62748,13.5314230771042,-28.4560117831223,20.42286,21.14517,0.2524262,0.2552243,24.59552,12.64537,5.7169,2.971828,56.73554079615184
127,262,13.48586,-28.46612,22.87,0.50304,13.4781186764135,-28.4696685392207,-999.0,21.89722,-999.0,0.386736,-999.0,6.325748,-999.0,2.252665,27.629599591281544
128,264,13.53387,-28.45892,22.88,0.43551,13.5314230771042,-28.4560117831223,20.42286,21.14517,0.2524262,0.2552243,24.59552,12.64537,5.7169,2.971828,13.022679272876625
129,265,13.51118,-28.46608,22.82,1.30353,13.4939062547521,-28.4728670083685,-999.0,22.47713,-999.0,0.5523269,-999.0,3.708066,-999.0,1.885879,59.87734209423004
130,266,13.55328,-28.45736,22.94,0.68301,13.5501596525058,-28.4500201579951,21.88131,-999.0,0.5069563,-999.0,6.419154,-999.0,2.996529,-999.0,28.208847260327566
131,267,13.53093,-28.46591,22.67,0.96102,13.5313961839367,-28.4685462592281,-999.0,22.86831,-999.0,0.6207797,-999.0,2.586285,-999.0,1.478373,9.604522825838798
132,268,13.52309,-28.46982,22.43,1.02295,13.5313961839367,-28.4685462592281,-999.0,22.86831,-999.0,0.6207797,-999.0,2.586285,-999.0,1.478373,26.683244787096772
133,271,13.56425,-28.46469,22.36,0.8201,13.5711600406538,-28.4573904192367,19.28162,19.44636,0.1492494,0.1154326,70.36466,60.45802,9.670242,6.426176,34.18831137728976
134,274,13.54779,-28.37007,0.0,0.18345,13.5449151684792,-28.3782743142547,19.75352,19.20278,0.174327,0.09215275,45.5611,75.66402,7.313566,6.420486,30.9074053533724
135,275,13.55553,-28.3848,22.62,0.98627,13.5526649541632,-28.3779403592448,-999.0,21.61093,-999.0,0.3272505,-999.0,8.234288,-999.0,2.481284,26.30919825537404
136,276,13.55045,-28.3833,23.25,0.8284,13.5526649541632,-28.3779403592448,-999.0,21.61093,-999.0,0.3272505,-999.0,8.234288,-999.0,2.481284,20.53052156285322
137,277,13.56435,-28.40551,0.0,0.82612,13.5697182100281,-28.4020923476443,-999.0,22.36525,-999.0,0.5144485,-999.0,4.110538,-999.0,1.947201,20.984429892048503
138,278,13.56471,-28.40548,21.88,0.8248,13.5697182100281,-28.4020923476443,-999.0,22.36525,-999.0,0.5144485,-999.0,4.110538,-999.0,1.947201,20.006065692958515
139,279,13.55561,-28.39893,22.02,0.71882,13.5606626211798,-28.394489573664,20.01939,19.91241,0.1953644,0.1269312,35.66522,39.3583,6.415944,4.600179,22.617762770611105
140,280,13.55951,-28.40734,22.76,0.49138,13.560671257771,-28.4167477725333,-999.0,21.70048,-999.0,0.3570176,-999.0,7.582391,-999.0,2.492676,34.06699734407302
141,281,13.54861,-28.4008,22.93,0.28908,13.5404722735861,-28.3982863819147,-999.0,21.32662,-999.0,0.315424,-999.0,10.69922,-999.0,3.107543,27.312718852268443
142,282,13.55068,-28.40457,22.81,1.0997,13.5404722735861,-28.3982863819147,-999.0,21.32662,-999.0,0.315424,-999.0,10.69922,-999.0,3.107543,39.45375491607441
143,283,13.53389,-28.39621,22.31,0.63182,13.5404722735861,-28.3982863819147,-999.0,21.32662,-999.0,0.315424,-999.0,10.69922,-999.0,3.107543,22.144599625169388
144,287,13.52054,-28.40257,23.91,0.98032,13.5244293521325,-28.4151000169588,-999.0,22.17334,-999.0,0.4727733,-999.0,4.905293,-999.0,2.135443,46.759054761349965
145,288,13.5192,-28.40365,0.0,0.68969,13.5244293521325,-28.4151000169588,-999.0,22.17334,-999.0,0.4727733,-999.0,4.905293,-999.0,2.135443,44.42158895672352
146,291,13.51606,-28.43211,23.47,1.00245,13.5166776195867,-28.4277837782872,-999.0,22.1071,-999.0,0.4388371,-999.0,5.213875,-999.0,2.106852,15.69665619205061
147,292,13.50005,-28.41411,23.42,0.99989,13.4926732305517,-28.4147754527793,-999.0,22.30887,-999.0,0.4557257,-999.0,4.329625,-999.0,1.81687,23.47962135096554
148,294,13.46225,-28.3846,22.74,0.43689,13.4668126381701,-28.381504035936,-999.0,22.77099,-999.0,0.5976278,-999.0,2.828804,-999.0,1.556696,18.24971812018222
149,295,13.47064,-28.40457,22.34,0.76363,13.4648079779311,-28.4052207938936,-999.0,22.57185,-999.0,0.5824109,-999.0,3.398274,-999.0,1.822461,18.615632217946242
150,296,13.48109,-28.41952,22.46,0.82181,13.4818210446417,-28.4210228252194,-999.0,22.85416,-999.0,0.7259424,-999.0,2.620209,-999.0,1.751493,5.884491115767768
151,297,13.46064,-28.3981,22.87,0.82223,13.4648079779311,-28.4052207938936,-999.0,22.57185,-999.0,0.5824109,-999.0,3.398274,-999.0,1.822461,28.833157054688826
152,298,13.45826,-28.39708,22.85,0.64548,13.4648079779311,-28.4052207938936,-999.0,22.57185,-999.0,0.5824109,-999.0,3.398274,-999.0,1.822461,35.90058855229474
153,301,13.46842,-28.42165,23.21,0.82204,13.470074724243,-28.4199377095691,-999.0,22.21463,-999.0,0.4734981,-999.0,4.722255,-999.0,2.058912,8.089839850060585
154,302,13.47483,-28.43514,23.32,0.96868,13.4786502975782,-28.4280997667502,-999.0,21.70958,-999.0,0.3412842,-999.0,7.519138,-999.0,2.36295,28.082591923169847
155,303,13.47605,-28.44647,23.57,0.6937,13.4861636626864,-28.4551649806696,-999.0,22.35133,-999.0,0.5346645,-999.0,4.163598,-999.0,2.049842,44.772465232516545
156,304,13.54897,-28.42511,0.0,-0.0002,13.5484394195987,-28.4224141830716,-999.0,22.06264,-999.0,0.5254802,-999.0,5.431808,-999.0,2.628276,9.849249175619281
