,num,ra,dec,Rmag,redshift,ID,KIDS_TILE,RAJ2000,DECJ2000,FLUX_RADIUS,CLASS_STAR,MAG_GAAP_u,MAG_GAAP_g,MAG_GAAP_r,MAG_GAAP_i,MAG_GAAP_Z,MAG_GAAP_Y,Z_B,Z_ML,EXTINCTION_u,EXTINCTION_g,EXTINCTION_r,EXTINCTION_i,angularsep
327,493,13.514,-28.40416,0.0,0.29362,KiDSDR4 J005403.545-282414.60 ,KIDS_13.5_-28.2 ,13.514771,-28.404058,5.050923824310303,0.028630699962377548,22.670488357543945,20.433605194091797,18.8009033203125,18.2540283203125,17.90159034729004,17.63141441345215,0.46,0.46,0.07620271295309067,0.05937663093209267,0.041076481342315674,0.030524229630827904,2.4689172741576884
328,494,13.51111,-28.40416,19.37,0.29436,KiDSDR4 J005402.677-282415.06 ,KIDS_13.5_-28.2 ,13.511158,-28.404186,6.080321788787842,0.030408449470996857,24.20870590209961,21.72857666015625,20.159914016723633,19.607789993286133,19.30646324157715,19.063335418701172,0.43000000000000005,0.44,0.0749581903219223,0.05840691924095154,0.04040563106536865,0.030025720596313477,0.1785052807670072
329,496,13.49403,-28.39964,20.03,0.29068,KiDSDR4 J005358.579-282359.01 ,KIDS_13.5_-28.2 ,13.494081,-28.399725,3.7482850551605225,0.02908400073647499,23.938823699951172,22.004684448242188,20.492977142333984,20.002042770385742,19.649639129638672,19.427814483642578,0.46,0.46,0.07504191249608994,0.058472149074077606,0.04045075923204422,0.030059250071644783,0.346005100661176
330,497,13.47943,-28.39385,19.45,0.29458,KiDSDR4 J005355.071-282338.09 ,KIDS_13.5_-28.2 ,13.479462999999999,-28.393914000000002,3.7641820907592773,0.029352910816669464,23.54488754272461,21.427234649658203,19.88675880432129,19.421443939208984,19.066530227661133,18.848621368408203,0.4,0.39,0.07540447264909744,0.05875464901328087,0.04064619913697243,0.03020448051393032,0.25299435031596984
331,499,13.46996,-28.41918,20.47,0.41901,KiDSDR4 J005352.797-282509.36 ,KIDS_13.5_-28.2 ,13.46999,-28.419268000000002,3.2279629707336426,0.02858331985771656,22.105201721191406,21.62215805053711,20.777551651000977,20.560665130615234,20.277475357055664,20.19898223876953,0.28,0.27,0.07088664174079895,0.0552343912422657,0.038210898637771606,0.028394790366292,0.33073305444917644
332,500,13.45171,-28.40952,19.83,0.29382,KiDSDR4 J005348.419-282434.60 ,KIDS_13.5_-28.2 ,13.451748,-28.409613,3.4826738834381104,0.03227141126990318,23.267475128173828,21.80728530883789,20.26273536682129,19.749317169189453,19.40617561340332,19.166336059570312,0.46,0.46,0.07223161309957504,0.05628238990902901,0.038935888558626175,0.028933539986610413,0.3557655968335537
333,501,13.49442,-28.45022,20.13,0.29272,KiDSDR4 J005358.667-282701.10 ,KIDS_13.5_-28.2 ,13.494447000000001,-28.450307000000002,3.029442071914673,0.10894650220870972,,21.942949295043945,20.467275619506836,19.968908309936523,19.630149841308594,19.406946182250977,0.36,0.37,0.07063736021518707,0.0550401508808136,0.03807651996612549,0.028294939547777176,0.3246503743786635
334,503,13.49715,-28.46273,20.95,0.29159,KiDSDR4 J005359.320-282746.14 ,KIDS_13.5_-28.2 ,13.497169,-28.462819,2.7538340091705322,0.6288409233093262,24.55785369873047,22.656005859375,21.25952911376953,20.732067108154297,20.4741153717041,20.130117416381836,0.36,0.35,0.07075107097625732,0.055128760635852814,0.03813781961798668,0.02834049053490162,0.32599394383782687
335,504,13.48137,-28.4684,0.0,0.29383,KiDSDR4 J005355.629-282806.81 ,KIDS_13.5_-28.2 ,13.481788,-28.468561,4.694171905517578,0.02864615060389042,23.520572662353516,21.50047492980957,19.959962844848633,19.45311737060547,19.046049118041992,18.771848678588867,0.43000000000000005,0.43000000000000005,0.06829279661178589,0.05321327969431877,0.03681270033121109,0.027355780825018883,1.444243272468983
336,505,13.53282,-28.42117,21.42,0.68657,KiDSDR4 J005407.887-282516.57 ,KIDS_13.5_-28.2 ,13.532862999999999,-28.42127,4.2321062088012695,0.013271870091557503,24.401220321655273,22.620241165161133,21.919361114501953,21.358863830566406,20.909730911254883,20.982423782348633,0.7899999999999999,0.8,0.07539583742618561,0.058747921139001846,0.04064153879880905,0.03020101971924305,0.3848827505792371
337,506,13.52543,-28.41227,20.74,0.29297,KiDSDR4 J005406.112-282444.50 ,KIDS_13.5_-28.2 ,13.525468,-28.412363,3.5437169075012207,0.029301870614290237,,22.49266242980957,21.10334014892578,20.668132781982422,20.327375411987305,20.177587509155273,0.32,0.32,0.07592462748289108,0.059159960597753525,0.04092659056186676,0.030412839725613594,0.35576454026978543
338,507,13.55394,-28.41547,0.0,0.44596,KiDSDR4 J005412.449-282501.99 ,KIDS_13.5_-28.2 ,13.551872,-28.417222000000002,1.8456929922103882,0.6125032901763916,23.472684860229492,24.11939811706543,23.867427825927734,23.8135986328125,23.634201049804688,,0.91,1.92,0.07751686125993729,0.06040060892701149,0.0417848601937294,0.031050629913806915,9.091447653064922
339,508,13.54494,-28.39885,19.62,0.44603,KiDSDR4 J005410.796-282356.17 ,KIDS_13.5_-28.2 ,13.544984,-28.398937,6.23724889755249,0.028101220726966858,22.32760238647461,21.65484046936035,20.38582992553711,19.866647720336914,19.50926971435547,19.332406997680664,0.59,0.59,0.07895985245704651,0.06152497977018356,0.04256270080804825,0.031628649681806564,0.342796235989866
340,509,13.51412,-28.40401,0.0,0.29157,KiDSDR4 J005403.545-282414.60 ,KIDS_13.5_-28.2 ,13.514771,-28.404058,5.050923824310303,0.028630699962377548,22.670488357543945,20.433605194091797,18.8009033203125,18.2540283203125,17.90159034729004,17.63141441345215,0.46,0.46,0.07620271295309067,0.05937663093209267,0.041076481342315674,0.030524229630827904,2.0686956126686113
341,510,13.51396,-28.40356,0.0,0.2935,KiDSDR4 J005403.511-282412.76 ,KIDS_13.5_-28.2 ,13.514631,-28.403547,5.266532897949219,0.028652580454945564,23.34339714050293,20.907386779785156,19.278270721435547,18.72824478149414,18.339378356933594,18.08360481262207,0.47000000000000003,0.47000000000000003,0.076247937977314,0.05941187962889671,0.04110085964202881,0.030542349442839622,2.1253231670264476
